Pnum,Owner,Species,State.code,Closed,Clear.date,Suspected.predation,Lay.date,Expected.hatch.date,Hatch.date,Total.egg.weight,Num.eggs.weighed,Clutch.size,Num.chicks,Num.chicks.ringed,Num.dead.chicks,Num.fledglings,Mean.chick.weight,Father,Mother,Dead.ringed.chick.ids,Comments
20201B60,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,16/04/2020,11/05/2020,10/05/2020,3.2,3,13,11,11,5,6,8.61,NA,avl3094,"avl3359, avl3368, avl3365, avl3363, avl3358","eggs shiny but cold, female unringed, nothing on fp"
20201B62,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B62A,Keith Mc Mahon,b,6,TRUE,18/05/2020,NA,16/04/2020,07/05/2020,08/05/2020,2.9,3,9,9,0,7,0,NA,NA,NA,NA,"female unringed, not hatched, nothing on fp, look about 8 days old"
20201B63,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,16/04/2020,07/05/2020,08/05/2020,3,3,10,9,9,0,9,10.76,avl3039,abj6203,NA,"female ringed, red tag, male unringed, female ring ends 03, not hatched, not hatched"
20201B64,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B65,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B66,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,17/04/2020,10/05/2020,09/05/2020,3.6,3,12,12,12,0,12,11.52,z628438,avl3092,NA,female unringed
20201B67,Keith Mc Mahon,g,6,TRUE,28/05/2020,NA,25/04/2020,14/05/2020,14/05/2020,4.6,3,7,4,0,3,0,NA,NA,tw77127,NA,"eggs lukewarm, not hatched, didn't fp young cold and hungry, did not see male"
20201B68,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,20/04/2020,09/05/2020,10/05/2020,3,3,8,8,8,0,8,10.26,NA,afh4035,NA,"small egg, female ringed, female unringed, not hatched"
20201B69,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,20/04/2020,11/05/2020,12/05/2020,3.2,3,9,9,9,0,9,10.27,NA,avl3214,NA,"female unringed, not hatched female ringed, not hatched, not hatched, nothing on fp"
20201B7,Keith Mc Mahon,b,6,TRUE,18/05/2020,NA,15/04/2020,06/05/2020,04/05/2020,NA,NA,9,9,0,0,0,NA,j215732,avl3019,NA,"not hatched female unringed, male"
20201B70,Keith Mc Mahon,NA,6,TRUE,21/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B71,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B72,Keith Mc Mahon,b,6,TRUE,26/05/2020,NA,16/04/2020,NA,NA,2.6,3,8,NA,0,0,0,NA,NA,NA,NA,still cold
20201B75,Keith Mc Mahon,b,6,TRUE,27/05/2020,NA,16/04/2020,06/05/2020,05/05/2020,3.4,3,8,8,8,0,8,10.65,avl3025,z629737,NA,"female ringed, suspected male"
20201B76,Keith Mc Mahon,g,6,TRUE,28/05/2020,NA,17/04/2020,07/05/2020,07/05/2020,4.7,3,8,7,7,0,7,18.29,tv44238,vz32977,NA,not hatched
20201B8,Keith Mc Mahon,b,6,TRUE,26/05/2020,NA,16/04/2020,07/05/2020,06/05/2020,3.8,3,9,9,9,0,9,11.51,j215736,avl3030,NA,not hatched
20201B97,Keith Mc Mahon,g,6,TRUE,04/06/2020,NA,18/04/2020,06/05/2020,06/05/2020,5.2,3,7,7,6,0,6,18.45,NA,te80864,NA,"not hatched, no sign of male"
20201B99,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,26/04/2020,15/05/2020,15/05/2020,3.2,3,7,7,3,2,3,8.17,avl3369,afh4119,NA,NA
20201B99A,Keith Mc Mahon,b,6,TRUE,02/06/2020,NA,29/04/2020,20/05/2020,19/05/2020,3.5,3,9,7,0,4,0,NA,NA,NA,NA,"didn't try to catch, chicks dying"
20201CP145,Sam Crofts,b,6,TRUE,29/05/2020,NA,18/04/2020,09/05/2020,08/05/2020,3.9,4,9,9,9,0,9,10.39,afh4296,afh3755,NA,FON
20201CP146,Sam Crofts,b,6,TRUE,12/06/2020,NA,15/04/2020,NA,NA,3.1,3,7,NA,0,0,0,NA,NA,NA,NA,"deep, new nest? Female ringed, eggs are cold, 3 original eggs deeper probably old nest, eggs are cold, eggs are cold, abandoned"
20201CP147,Sam Crofts,b,6,TRUE,16/06/2020,NA,09/05/2020,27/05/2020,24/05/2020,NA,NA,6,6,2,1,2,9.65,z627910,avl7440,NA,No PIT detected
20201CP148,Sam Crofts,b,6,TRUE,12/06/2020,NA,26/04/2020,13/05/2020,13/05/2020,4.8,4,5,5,5,0,5,10.78,s882715,j215711,NA,NA
20201CP38,Keith Mc Mahon,b,6,TRUE,30/05/2020,NA,21/04/2020,11/05/2020,11/05/2020,3.7,3,8,8,8,0,8,10.67,avl5109,avl5110,NA,"FON, FON"
20201CP38A,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
