"species","Model_Code","Metric_Code","Trait_Code","pct_change","Model","Metric"
"Homo sapiens (Sweden1891Female)","NoPeak","Mean","LRO",-5.07836655210391,"No-senescence-peak","Mean LRO"
"Homo sapiens (Sweden1891Female)","NoPeak","Var","LRO",-76.6255125670097,"No-senescence-peak","Variance LRO"
"Homo sapiens (Sweden1891Female)","NoPeak","Skew","LRO",-237.925803828,"No-senescence-peak","Skewness LRO"
"Homo sapiens (Sweden1891Female)","NoEarly","Mean","LRO",-2.7351756787952,"No-senescence-early","Mean LRO"
"Homo sapiens (Sweden1891Female)","NoEarly","Var","LRO",-154.811750287523,"No-senescence-early","Variance LRO"
"Homo sapiens (Sweden1891Female)","NoEarly","Skew","LRO",-363.296616539947,"No-senescence-early","Skewness LRO"
"Homo sapiens (Sweden1891Female)","NoLate","Mean","LRO",-2.7740183782052,"No-senescence-late","Mean LRO"
"Homo sapiens (Sweden1891Female)","NoLate","Var","LRO",-6.55297328676885,"No-senescence-late","Variance LRO"
"Homo sapiens (Sweden1891Female)","NoLate","Skew","LRO",-5.75320713074889,"No-senescence-late","Skewness LRO"
"Lacerta vivipara","NoPeak","Mean","Lifespan",0.136911811178161,"No-senescence-peak","Mean Lifespan"
"Lacerta vivipara","NoPeak","Var","Lifespan",1.92891480770528,"No-senescence-peak","Variance Lifespan"
"Lacerta vivipara","NoPeak","Skew","Lifespan",2.69108273012668,"No-senescence-peak","Skewness Lifespan"
"Lacerta vivipara","NoEarly","Mean","Lifespan",-0.271545630530696,"No-senescence-early","Mean Lifespan"
"Lacerta vivipara","NoEarly","Var","Lifespan",-3.11483632547306,"No-senescence-early","Variance Lifespan"
"Lacerta vivipara","NoEarly","Skew","Lifespan",-2.54771951486396,"No-senescence-early","Skewness Lifespan"
"Lacerta vivipara","NoLate","Mean","Lifespan",0,"No-senescence-late","Mean Lifespan"
"Lacerta vivipara","NoLate","Var","Lifespan",0,"No-senescence-late","Variance Lifespan"
"Lacerta vivipara","NoLate","Skew","Lifespan",0,"No-senescence-late","Skewness Lifespan"
"Lacerta vivipara","NoPeak","Mean","LRO",0.253176415407955,"No-senescence-peak","Mean LRO"
"Lacerta vivipara","NoPeak","Var","LRO",0.499020950405122,"No-senescence-peak","Variance LRO"
"Lacerta vivipara","NoPeak","Skew","LRO",0.14729581237571,"No-senescence-peak","Skewness LRO"
"Lacerta vivipara","NoEarly","Mean","LRO",-3.17887621542557,"No-senescence-early","Mean LRO"
"Lacerta vivipara","NoEarly","Var","LRO",-5.40828380168282,"No-senescence-early","Variance LRO"
"Lacerta vivipara","NoEarly","Skew","LRO",-0.609984849079376,"No-senescence-early","Skewness LRO"
"Lacerta vivipara","NoLate","Mean","LRO",0,"No-senescence-late","Mean LRO"
"Lacerta vivipara","NoLate","Var","LRO",0,"No-senescence-late","Variance LRO"
"Lacerta vivipara","NoLate","Skew","LRO",0,"No-senescence-late","Skewness LRO"
"Marmota flaviventris","NoPeak","Mean","Lifespan",-0.234914109528706,"No-senescence-peak","Mean Lifespan"
"Marmota flaviventris","NoPeak","Var","Lifespan",-2.58783160361741,"No-senescence-peak","Variance Lifespan"
"Marmota flaviventris","NoPeak","Skew","Lifespan",-3.42745619752933,"No-senescence-peak","Skewness Lifespan"
"Marmota flaviventris","NoEarly","Mean","Lifespan",-0.746235309888736,"No-senescence-early","Mean Lifespan"
"Marmota flaviventris","NoEarly","Var","Lifespan",-13.444913384221,"No-senescence-early","Variance Lifespan"
"Marmota flaviventris","NoEarly","Skew","Lifespan",-27.8522758924713,"No-senescence-early","Skewness Lifespan"
"Marmota flaviventris","NoLate","Mean","Lifespan",-0.234914109528706,"No-senescence-late","Mean Lifespan"
"Marmota flaviventris","NoLate","Var","Lifespan",-2.58783160361741,"No-senescence-late","Variance Lifespan"
"Marmota flaviventris","NoLate","Skew","Lifespan",-3.42745619752933,"No-senescence-late","Skewness Lifespan"
"Marmota flaviventris","NoPeak","Mean","LRO",-1.97568389057751,"No-senescence-peak","Mean LRO"
"Marmota flaviventris","NoPeak","Var","LRO",-4.91384196061159,"No-senescence-peak","Variance LRO"
"Marmota flaviventris","NoPeak","Skew","LRO",-1.80140383238468,"No-senescence-peak","Skewness LRO"
"Marmota flaviventris","NoEarly","Mean","LRO",-3.16836262719705,"No-senescence-early","Mean LRO"
"Marmota flaviventris","NoEarly","Var","LRO",-13.1163918486192,"No-senescence-early","Variance LRO"
"Marmota flaviventris","NoEarly","Skew","LRO",-10.5570374669173,"No-senescence-early","Skewness LRO"
"Marmota flaviventris","NoLate","Mean","LRO",-1.97568389057751,"No-senescence-late","Mean LRO"
"Marmota flaviventris","NoLate","Var","LRO",-4.91384196061159,"No-senescence-late","Variance LRO"
"Marmota flaviventris","NoLate","Skew","LRO",-1.80140383238468,"No-senescence-late","Skewness LRO"
"Microtus oeconomus","NoPeak","Mean","Lifespan",-0.519480519480518,"No-senescence-peak","Mean Lifespan"
"Microtus oeconomus","NoPeak","Var","Lifespan",-12.7621091354997,"No-senescence-peak","Variance Lifespan"
"Microtus oeconomus","NoPeak","Skew","Lifespan",-68.5947500479366,"No-senescence-peak","Skewness Lifespan"
"Microtus oeconomus","NoEarly","Mean","Lifespan",-4.48642266824085,"No-senescence-early","Mean Lifespan"
"Microtus oeconomus","NoEarly","Var","Lifespan",-31.9208542140654,"No-senescence-early","Variance Lifespan"
"Microtus oeconomus","NoEarly","Skew","Lifespan",-65.1320529098797,"No-senescence-early","Skewness Lifespan"
"Microtus oeconomus","NoLate","Mean","Lifespan",-1.64502164502165,"No-senescence-late","Mean Lifespan"
"Microtus oeconomus","NoLate","Var","Lifespan",-19.3233530894475,"No-senescence-late","Variance Lifespan"
"Microtus oeconomus","NoLate","Skew","Lifespan",-65.5704404083263,"No-senescence-late","Skewness Lifespan"
"Microtus oeconomus","NoPeak","Mean","LRO",-4.9144991779774,"No-senescence-peak","Mean LRO"
"Microtus oeconomus","NoPeak","Var","LRO",-21.5395215440419,"No-senescence-peak","Variance LRO"
"Microtus oeconomus","NoPeak","Skew","LRO",-27.1169239112541,"No-senescence-peak","Skewness LRO"
"Microtus oeconomus","NoEarly","Mean","LRO",-3.40132925511118,"No-senescence-early","Mean LRO"
"Microtus oeconomus","NoEarly","Var","LRO",-25.4864866156864,"No-senescence-early","Variance LRO"
"Microtus oeconomus","NoEarly","Skew","LRO",-38.1037851183434,"No-senescence-early","Skewness LRO"
"Microtus oeconomus","NoLate","Mean","LRO",-4.33176240579901,"No-senescence-late","Mean LRO"
"Microtus oeconomus","NoLate","Var","LRO",-15.6862109882764,"No-senescence-late","Variance LRO"
"Microtus oeconomus","NoLate","Skew","LRO",-13.3233710102816,"No-senescence-late","Skewness LRO"
"Orcinus orca","NoPeak","Mean","Lifespan",-3.28878931042217,"No-senescence-peak","Mean Lifespan"
"Orcinus orca","NoPeak","Var","Lifespan",-102.198818160062,"No-senescence-peak","Variance Lifespan"
"Orcinus orca","NoPeak","Skew","Lifespan",164.312826303475,"No-senescence-peak","Skewness Lifespan"
"Orcinus orca","NoEarly","Mean","Lifespan",-3.02563670146562,"No-senescence-early","Mean Lifespan"
"Orcinus orca","NoEarly","Var","Lifespan",-182.611841236691,"No-senescence-early","Variance Lifespan"
"Orcinus orca","NoEarly","Skew","Lifespan",213.639398522168,"No-senescence-early","Skewness Lifespan"
"Orcinus orca","NoLate","Mean","Lifespan",-2.73620068063103,"No-senescence-late","Mean Lifespan"
"Orcinus orca","NoLate","Var","Lifespan",-32.7940206753166,"No-senescence-late","Variance Lifespan"
"Orcinus orca","NoLate","Skew","Lifespan",71.3053092922554,"No-senescence-late","Skewness Lifespan"
"Orcinus orca","NoPeak","Mean","LRO",-10.185453697479,"No-senescence-peak","Mean LRO"
"Orcinus orca","NoPeak","Var","LRO",-42.7492280766726,"No-senescence-peak","Variance LRO"
"Orcinus orca","NoPeak","Skew","LRO",-39.9936161893547,"No-senescence-peak","Skewness LRO"
"Orcinus orca","NoEarly","Mean","LRO",-9.13185247794206,"No-senescence-early","Mean LRO"
"Orcinus orca","NoEarly","Var","LRO",-86.3642005011353,"No-senescence-early","Variance LRO"
"Orcinus orca","NoEarly","Skew","LRO",-85.126992778381,"No-senescence-early","Skewness LRO"
"Orcinus orca","NoLate","Mean","LRO",-5.33951123197816,"No-senescence-late","Mean LRO"
"Orcinus orca","NoLate","Var","LRO",-8.36973989911433,"No-senescence-late","Variance LRO"
"Orcinus orca","NoLate","Skew","LRO",-0.121720096641001,"No-senescence-late","Skewness LRO"
"Ovis aries","NoPeak","Mean","Lifespan",-5.23549933513574,"No-senescence-peak","Mean Lifespan"
"Ovis aries","NoPeak","Var","Lifespan",-50.5421934575796,"No-senescence-peak","Variance Lifespan"
"Ovis aries","NoPeak","Skew","Lifespan",-83.181958827548,"No-senescence-peak","Skewness Lifespan"
"Ovis aries","NoEarly","Mean","Lifespan",2.86917271483643,"No-senescence-early","Mean Lifespan"
"Ovis aries","NoEarly","Var","Lifespan",-32.289540203379,"No-senescence-early","Variance Lifespan"
"Ovis aries","NoEarly","Skew","Lifespan",-108.15665872139,"No-senescence-early","Skewness Lifespan"
"Ovis aries","NoLate","Mean","Lifespan",0.243125022973481,"No-senescence-late","Mean Lifespan"
"Ovis aries","NoLate","Var","Lifespan",1.1756975511244,"No-senescence-late","Variance Lifespan"
"Ovis aries","NoLate","Skew","Lifespan",0.799831565185467,"No-senescence-late","Skewness Lifespan"
"Ovis aries","NoPeak","Mean","LRO",-9.38507362118212,"No-senescence-peak","Mean LRO"
"Ovis aries","NoPeak","Var","LRO",-49.5398975960367,"No-senescence-peak","Variance LRO"
"Ovis aries","NoPeak","Skew","LRO",-45.4148445951371,"No-senescence-peak","Skewness LRO"
"Ovis aries","NoEarly","Mean","LRO",8.72295139008616,"No-senescence-early","Mean LRO"
"Ovis aries","NoEarly","Var","LRO",-15.0397855573818,"No-senescence-early","Variance LRO"
"Ovis aries","NoEarly","Skew","LRO",-61.1523230174761,"No-senescence-early","Skewness LRO"
"Ovis aries","NoLate","Mean","LRO",-0.42528085744489,"No-senescence-late","Mean LRO"
"Ovis aries","NoLate","Var","LRO",-1.19558627362129,"No-senescence-late","Variance LRO"
"Ovis aries","NoLate","Skew","LRO",-0.584138135968248,"No-senescence-late","Skewness LRO"
"Pan troglodytes","NoPeak","Mean","Lifespan",86.8817855092147,"No-senescence-peak","Mean Lifespan"
"Pan troglodytes","NoPeak","Var","Lifespan",99.988471921771,"No-senescence-peak","Variance Lifespan"
"Pan troglodytes","NoPeak","Skew","Lifespan",94.8668160040531,"No-senescence-peak","Skewness Lifespan"
"Pan troglodytes","NoEarly","Mean","Lifespan",86.5459581769935,"No-senescence-early","Mean Lifespan"
"Pan troglodytes","NoEarly","Var","Lifespan",99.9838474541083,"No-senescence-early","Variance Lifespan"
"Pan troglodytes","NoEarly","Skew","Lifespan",90.4107033076813,"No-senescence-early","Skewness Lifespan"
"Pan troglodytes","NoLate","Mean","Lifespan",86.8592883263083,"No-senescence-late","Mean Lifespan"
"Pan troglodytes","NoLate","Var","Lifespan",99.9888221304777,"No-senescence-late","Variance Lifespan"
"Pan troglodytes","NoLate","Skew","Lifespan",95.8588390960321,"No-senescence-late","Skewness Lifespan"
